"Profile.Name","Start.Time","Duration","Attributes","Title","Supplemental.Video.Type","Device.Type","Bookmark","Latest.Bookmark","Country"
"Astrid",2020-11-24 21:23:15,"00:00:04","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 3: Gérard (Episode 3)","","FireTV Stick 2016","00:00:09","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-24 20:26:32,"00:56:40","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 3: Monica (Episode 2)","","FireTV Stick 2016","00:57:18","00:57:18","GB (United Kingdom)"
"Astrid",2020-11-24 20:02:50,"00:23:23","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 3: Jean (Episode 1)","","FireTV Stick 2016","00:53:07","00:53:07","GB (United Kingdom)"
"Astrid",2020-11-24 20:02:17,"00:00:13","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 3: Jean (Episode 1)","","FireTV Stick 2016","00:30:16","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-24 20:01:29,"00:00:20","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 3: Jean (Episode 1)","","FireTV Stick 2016","00:30:04","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-24 19:56:38,"00:00:44","Autoplayed: user action: None; ","Anthony Bourdain: Parts Unknown: Season 12_hook_01_16x9","HOOK","FireTV Stick 2016","00:00:44","00:00:44","GB (United Kingdom)"
"Astrid",2020-11-23 20:56:41,"00:30:51","","Call My Agent!: Season 3: Jean (Episode 1)","","FireTV Stick 2016","00:29:44","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-23 20:49:40,"00:00:14","","Call My Agent!: Season 3: Jean (Episode 1)","","FireTV Stick 2016","00:00:14","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-23 19:46:40,"00:54:45","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 2: Juliette (Episode 6)","","FireTV Stick 2016","00:55:16","00:55:16","GB (United Kingdom)"
"Astrid",2020-11-23 19:46:11,"00:00:23","Autoplayed: user action: None; ","Season 2 Trailer: The Crown","TRAILER","FireTV Stick 2016","00:00:23","00:00:23","GB (United Kingdom)"
"Astrid",2020-11-23 19:44:53,"00:01:06","","Interior Design Masters: Season 1: Episode 1","","FireTV Stick 2016","00:01:06","00:01:06","GB (United Kingdom)"
"Astrid",2020-11-23 19:34:13,"00:00:02","","Interior Design Masters: Season 1: Episode 1","","FireTV Stick 2016","00:00:02","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-22 21:03:15,"00:27:35","","Call My Agent!: Season 2: Guy (Episode 5)","","FireTV Stick 2016","00:49:52","00:49:52","GB (United Kingdom)"
"Astrid",2020-11-22 20:31:20,"00:21:42","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 2: Guy (Episode 5)","","FireTV Stick 2016","00:22:20","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-22 19:38:52,"00:51:21","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 2: Isabelle (Episode 4)","","FireTV Stick 2016","00:55:10","00:55:10","GB (United Kingdom)"
"Astrid",2020-11-22 19:32:56,"00:03:45","Autoplayed: user action: None; ","Call My Agent!: Season 2: Isabelle (Episode 4)","","FireTV Stick 2016","00:03:50","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-22 18:35:34,"00:53:35","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 2: Norman (Episode 3)","","FireTV Stick 2016","00:52:28","00:52:28","GB (United Kingdom)"
"Astrid",2020-11-21 21:51:23,"00:00:07","Autoplayed: user action: None; ","Season 1 Trailer: The Queen's Gambit","TRAILER","FireTV Stick 2016","00:00:07","00:00:07","GB (United Kingdom)"
"Astrid",2020-11-21 20:57:18,"00:50:47","Autoplayed: user action: Unspecified; ","The Crown: Season 4: War (Episode 10)","","FireTV Stick 2016","00:51:33","00:51:33","GB (United Kingdom)"
"Astrid",2020-11-21 20:03:35,"00:46:41","","The Crown: Season 4: Avalanche (Episode 9)","","FireTV Stick 2016","00:46:50","00:46:50","GB (United Kingdom)"
"Astrid",2020-11-21 19:09:10,"00:50:09","Autoplayed: user action: Unspecified; ","The Crown: Season 4: 48:1 (Episode 8)","","FireTV Stick 2016","00:50:44","00:50:44","GB (United Kingdom)"
"Astrid",2020-11-21 19:08:52,"00:00:06","Autoplayed: user action: None; ","We Are The Champions: Season 1: Clip 3: Intense Emotion","HOOK","FireTV Stick 2016","00:00:06","00:00:06","GB (United Kingdom)"
"Astrid",2020-11-20 22:57:44,"00:52:39","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 2: Fabrice Luchini (Episode 2)","","FireTV Stick 2016","00:53:14","00:53:14","GB (United Kingdom)"
"Astrid",2020-11-20 22:04:50,"00:50:13","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 2: Virginie and Ramzy (Episode 1)","","FireTV Stick 2016","00:50:46","00:50:46","GB (United Kingdom)"
"Astrid",2020-11-20 22:04:43,"00:00:05","Autoplayed: user action: None; ","Ten Percent (aka Call My Agent!): Season 2 (Trailer)","TRAILER","FireTV Stick 2016","00:00:05","00:00:05","GB (United Kingdom)"
"Astrid",2020-11-20 22:04:04,"00:00:18","Autoplayed: user action: None; ","Cable Girls (Trailer)","TRAILER","FireTV Stick 2016","00:00:18","00:00:18","GB (United Kingdom)"
"Astrid",2020-11-19 22:06:43,"00:00:04","","Call My Agent!: Season 2: Virginie and Ramzy (Episode 1)","","FireTV Stick 2016","00:00:09","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-19 21:15:50,"00:50:49","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 1: François (Episode 6)","","FireTV Stick 2016","00:51:22","00:51:22","GB (United Kingdom)"
"Astrid",2020-11-18 22:18:07,"00:00:08","Autoplayed: user action: None; ","Call My Agent!: Season 1: François (Episode 6)","","FireTV Stick 2016","00:00:13","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-18 21:30:33,"00:46:27","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 1: Julie and Joey (Episode 5)","","FireTV Stick 2016","00:47:05","00:47:05","GB (United Kingdom)"
"Astrid",2020-11-18 21:14:27,"00:16:03","","Call My Agent!: Season 1: Audrey (Episode 4)","","FireTV Stick 2016","00:52:02","00:52:02","GB (United Kingdom)"
"Astrid",2020-11-18 20:35:44,"00:36:01","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 1: Audrey (Episode 4)","","FireTV Stick 2016","00:36:05","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-18 19:43:34,"00:51:12","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 1: Nathalie and Laura (Episode 3)","","FireTV Stick 2016","00:51:12","00:51:12","GB (United Kingdom)"
"Astrid",2020-11-18 19:42:50,"00:00:35","Autoplayed: user action: None; ","Anthony Bourdain: Parts Unknown: Season 12_hook_03_16x9","HOOK","FireTV Stick 2016","00:00:35","00:00:35","GB (United Kingdom)"
"Astrid",2020-11-17 19:40:26,"00:03:48","","The Crown: Season 4: 48:1 (Episode 8)","","FireTV Stick 2016","00:03:48","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-17 19:35:08,"00:00:09","Autoplayed: user action: None; ","The Crown: Season 4: 48:1 (Episode 8)","","FireTV Stick 2016","00:00:13","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-17 18:45:59,"00:46:19","Autoplayed: user action: Unspecified; ","The Crown: Season 4: The Hereditary Principle (Episode 7)","","FireTV Stick 2016","00:47:25","00:47:25","GB (United Kingdom)"
"Astrid",2020-11-16 21:28:38,"00:00:03","","The Crown: Season 4: The Hereditary Principle (Episode 7)","","FireTV Stick 2016","00:00:07","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-16 20:37:11,"00:50:34","Autoplayed: user action: Unspecified; ","The Crown: Season 4: Terra Nullius (Episode 6)","","FireTV Stick 2016","00:51:37","00:51:37","GB (United Kingdom)"
"Astrid",2020-11-16 19:47:47,"00:49:19","Autoplayed: user action: Unspecified; ","The Crown: Season 4: Fagan (Episode 5)","","FireTV Stick 2016","00:49:51","00:49:51","GB (United Kingdom)"
"Astrid",2020-11-15 22:06:29,"00:00:01","","The Crown: Season 4: Fagan (Episode 5)","","FireTV Stick 2016","00:00:05","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-15 21:07:52,"00:58:29","Autoplayed: user action: Unspecified; ","The Crown: Season 4: Favourites (Episode 4)","","FireTV Stick 2016","00:57:26","00:57:26","GB (United Kingdom)"
"Astrid",2020-11-15 20:25:25,"00:39:23","","The Crown: Season 4: Fairytale (Episode 3)","","FireTV Stick 2016","00:53:45","00:53:45","GB (United Kingdom)"
"Astrid",2020-11-15 20:12:01,"00:13:16","","The Crown: Season 4: Fairytale (Episode 3)","","FireTV Stick 2016","00:14:26","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-15 19:27:23,"00:43:42","","The Crown: Season 4: The Balmoral Test (Episode 2)","","FireTV Stick 2016","00:54:12","00:54:12","GB (United Kingdom)"
"Astrid",2020-11-15 19:19:46,"00:00:04","Autoplayed: user action: Unspecified; ","The Crown: Season 4: The Balmoral Test (Episode 2)","","FireTV Stick 2016","00:10:34","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-15 18:46:27,"00:10:40","Autoplayed: user action: Unspecified; ","The Crown: Season 4: The Balmoral Test (Episode 2)","","FireTV Stick 2016","00:10:30","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-15 17:53:39,"00:51:16","","The Crown: Season 4: Gold Stick (Episode 1)","","FireTV Stick 2016","00:51:16","00:51:16","GB (United Kingdom)"
"Astrid",2020-11-15 17:50:52,"00:02:43","Autoplayed: user action: None; ","Season 3 Recap: The Crown","RECAP","FireTV Stick 2016","00:02:43","00:02:43","GB (United Kingdom)"
"Astrid",2020-11-14 21:23:07,"00:00:04","Autoplayed: user action: None; ","Call My Agent!: Season 1: Nathalie and Laura (Episode 3)","","FireTV Stick 2016","00:00:08","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-14 20:23:34,"00:51:30","","Call My Agent!: Season 1: Line and Françoise (Episode 2)","","FireTV Stick 2016","00:52:07","00:52:07","GB (United Kingdom)"
"Astrid",2020-11-14 19:26:21,"00:54:52","","Call My Agent!: Season 1: Cécile (Episode 1)","","FireTV Stick 2016","00:54:52","00:54:52","GB (United Kingdom)"
"Astrid",2020-11-14 19:26:07,"00:00:06","Autoplayed: user action: None; ","The Secret: Dare to Dream_hook_primary_16x9","HOOK","FireTV Stick 2016","00:00:06","00:00:06","GB (United Kingdom)"
"Astrid",2020-11-14 19:25:26,"00:00:38","Autoplayed: user action: None; ","Call My Agent!: Season 1 (Trailer)","TRAILER","FireTV Stick 2016","00:00:38","00:00:38","GB (United Kingdom)"
"Astrid",2020-11-14 19:24:16,"00:01:07","Autoplayed: user action: None; ","The Secret: Dare to Dream_hook_primary_16x9","HOOK","FireTV Stick 2016","00:01:07","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-14 19:23:53,"00:00:12","Autoplayed: user action: None; ","Season 3 Trailer: The Crown","TRAILER","FireTV Stick 2016","00:00:12","00:00:12","GB (United Kingdom)"
"Astrid",2020-11-14 19:23:37,"00:00:12","Autoplayed: user action: None; ","Doctor Who: Season 1_hook_primary_16x9","HOOK","FireTV Stick 2016","00:00:12","00:00:12","GB (United Kingdom)"
"Astrid",2020-11-14 19:23:20,"00:00:13","Autoplayed: user action: None; ","The Durrells: Season 2_hook_primary_16x9","HOOK","FireTV Stick 2016","00:00:13","00:00:13","GB (United Kingdom)"
"Astrid",2020-11-14 19:23:04,"00:00:12","Autoplayed: user action: None; ","Rick and Morty: Season 1_hook_primary_16x9","HOOK","FireTV Stick 2016","00:00:12","00:00:12","GB (United Kingdom)"
"Astrid",2020-11-14 19:17:40,"00:04:26","","Money Heist: Part 4: Game Over (Episode 1)","","FireTV Stick 2016","00:04:26","00:04:26","GB (United Kingdom)"
"Astrid",2020-11-14 19:05:05,"00:00:18","","Money Heist: Part 4: Game Over (Episode 1)","","FireTV Stick 2016","00:00:18","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-14 19:04:18,"00:00:31","Autoplayed: user action: None; ","Money Heist: Part 3 (Trailer)","TRAILER","FireTV Stick 2016","00:00:31","00:00:31","GB (United Kingdom)"
"Astrid",2020-11-14 19:04:03,"00:00:07","Autoplayed: user action: None; ","Rick and Morty: Season 1_hook_primary_16x9","HOOK","FireTV Stick 2016","00:00:07","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-14 19:02:10,"00:01:01","Autoplayed: user action: None; ","Clip 2: The Queen's Gambit: Season 1","HOOK","FireTV Stick 2016","00:01:01","00:01:01","GB (United Kingdom)"
"Astrid",2020-11-07 19:03:32,"00:00:48","Autoplayed: user action: None; ","The End of the F***ing World: Season 2 (Trailer)","TRAILER","FireTV Stick 2016","00:00:48","00:00:48","GB (United Kingdom)"
"Astrid",2020-11-04 19:24:29,"00:00:07","Autoplayed: user action: None; ","Clip 2: The Queen's Gambit: Season 1","HOOK","Sony Simple TV 2016 Tan Smart TV","00:00:07","Not latest view","GB (United Kingdom)"
"Astrid",2020-10-15 20:22:53,"00:00:43","","MasterChef: The Professionals: Season 10_hook_primary_16x9","","FireTV Stick 2016","00:00:43","Not latest view","GB (United Kingdom)"
"Astrid",2020-10-15 20:22:53,"00:00:43","","MasterChef: The Professionals: Season 10_hook_primary_16x9","","FireTV Stick 2016","00:00:43","00:00:43","GB (United Kingdom)"
"Astrid",2020-10-15 20:21:31,"00:01:20","","Our Planet: Amazing Animals","","FireTV Stick 2016","00:01:20","00:01:20","GB (United Kingdom)"
"Astrid",2020-10-15 20:19:49,"00:01:40","Autoplayed: user action: None; ","Season 1 Trailer: Get Organized with The Home Edit","TRAILER","FireTV Stick 2016","00:01:40","00:01:40","GB (United Kingdom)"
"Astrid",2020-10-15 19:00:11,"01:18:35","Autoplayed: user action: Unspecified; ","David Attenborough: A Life on Our Planet","","FireTV Stick 2016","01:18:32","01:18:32","GB (United Kingdom)"
"Astrid",2020-10-15 18:58:59,"00:01:03","Autoplayed: user action: None; ","Clip 3: The Haunting of Bly Manor","HOOK","FireTV Stick 2016","00:01:03","00:01:03","GB (United Kingdom)"
"Astrid",2020-10-15 18:57:47,"00:00:58","Autoplayed: user action: None; ","MasterChef: The Professionals: Season 9_hook_02_16x9","HOOK","FireTV Stick 2016","00:00:58","00:00:58","GB (United Kingdom)"
"Astrid",2020-10-15 18:56:48,"00:00:44","Autoplayed: user action: None; ","RBG_hook_primary_16x9","HOOK","FireTV Stick 2016","00:00:44","00:00:44","GB (United Kingdom)"
"Astrid",2020-10-15 18:56:34,"00:00:08","Autoplayed: user action: None; ","Season 1 Trailer: The Duchess","TRAILER","FireTV Stick 2016","00:00:08","00:00:08","GB (United Kingdom)"
"Astrid",2020-10-15 18:56:12,"00:00:05","Autoplayed: user action: None; ","Season 1 Trailer: Ratched","TRAILER","FireTV Stick 2016","00:00:05","00:00:05","GB (United Kingdom)"
"Astrid",2020-10-15 16:58:00,"00:00:04","Autoplayed: user action: None; ","Season 1 Trailer: Emily in Paris","TRAILER","FireTV Stick 2016","00:00:04","00:00:04","GB (United Kingdom)"
"Astrid",2020-10-15 16:15:39,"00:42:15","Autoplayed: user action: Unspecified; ","The Social Dilemma","","FireTV Stick 2016","01:33:49","01:33:49","GB (United Kingdom)"
"Astrid",2020-10-14 17:02:26,"00:27:36","","The Social Dilemma","","FireTV Stick 2016","00:51:36","Not latest view","GB (United Kingdom)"
"Astrid",2020-10-14 16:34:44,"00:09:57","Autoplayed: user action: Unspecified; ","The Social Dilemma","","FireTV Stick 2016","00:24:01","Not latest view","GB (United Kingdom)"
"Astrid",2020-10-14 16:34:34,"00:00:04","Autoplayed: user action: None; ","Season 1 Clip 2: Emily in Paris","HOOK","FireTV Stick 2016","00:00:04","00:00:04","GB (United Kingdom)"
"Astrid",2020-10-14 16:33:47,"00:00:36","Autoplayed: user action: None; ","Season 1 Clip 2: Emily in Paris","HOOK","FireTV Stick 2016","00:00:36","Not latest view","GB (United Kingdom)"
"Astrid",2020-10-12 20:39:50,"00:03:28","Autoplayed: user action: None; ","Jack Whitehall: Travels with My Father: Season 3: Episode 2","","Sony Simple TV 2016 Tan Smart TV","00:03:38","00:03:38","GB (United Kingdom)"
"Astrid",2020-10-12 19:50:50,"00:48:54","Autoplayed: user action: None; ","Jack Whitehall: Travels with My Father: Season 3: Episode 1","","Sony Simple TV 2016 Tan Smart TV","00:49:04","00:49:04","GB (United Kingdom)"
"Astrid",2020-10-12 19:27:21,"00:23:18","Autoplayed: user action: Unspecified; ","Jack Whitehall: Travels with My Father: Season 4: Episode 2","","Sony Simple TV 2016 Tan Smart TV","01:01:04","01:01:04","GB (United Kingdom)"
"Astrid",2020-10-03 21:42:07,"00:02:12","","Season 1 Trailer: The Duchess","TRAILER","FireTV Stick 2016","00:02:12","Not latest view","GB (United Kingdom)"
"Astrid",2020-10-03 21:40:29,"00:01:34","","Season 1 Trailer: Emily in Paris","TRAILER","FireTV Stick 2016","00:01:34","Not latest view","GB (United Kingdom)"
"Astrid",2020-10-03 21:39:41,"00:00:46","Autoplayed: user action: None; ","Schitt's Creek: Season 1_hook_primary_16x9","HOOK","FireTV Stick 2016","00:00:46","00:00:46","GB (United Kingdom)"
"Astrid",2020-10-03 19:40:45,"01:58:51","","Enola Holmes","","FireTV Stick 2016","01:58:51","01:58:51","GB (United Kingdom)"
"Astrid",2020-10-03 19:40:18,"00:00:25","Autoplayed: user action: None; ","Clip 1: Enola Holmes","HOOK","FireTV Stick 2016","00:00:25","00:00:25","GB (United Kingdom)"
"Astrid",2020-10-03 19:40:10,"00:00:05","Autoplayed: user action: None; ","Schitt's Creek: Season 1_hook_primary_16x9","HOOK","FireTV Stick 2016","00:00:05","Not latest view","GB (United Kingdom)"
"Astrid",2020-09-28 21:03:45,"00:37:38","Autoplayed: user action: Unspecified; ","Jack Whitehall: Travels with My Father: Season 4: Episode 2","","Sony Simple TV 2016 Tan Smart TV","00:37:46","Not latest view","GB (United Kingdom)"
"Astrid",2020-09-28 19:53:02,"00:58:17","","Jack Whitehall: Travels with My Father: Season 4: Episode 1","","Sony Simple TV 2016 Tan Smart TV","00:58:17","00:58:17","GB (United Kingdom)"
"Astrid",2020-09-28 19:51:59,"00:00:13","Autoplayed: user action: None; ","Season 4 Trailer: Jack Whitehall: Travels with My Father","TRAILER","Sony Simple TV 2016 Tan Smart TV","00:00:13","00:00:13","GB (United Kingdom)"
"Astrid",2020-09-22 21:21:44,"00:04:41","Autoplayed: user action: Unspecified; ","The Fresh Prince of Bel-Air: Season 1: Someday Your Prince Will Be in Effect: Part 1 (Episode 8)","","Sony Simple TV 2016 Tan Smart TV","00:06:21","00:06:21","GB (United Kingdom)"
"Astrid",2020-09-22 20:58:00,"00:23:26","Autoplayed: user action: Unspecified; ","The Fresh Prince of Bel-Air: Season 1: Def Poet's Society (Episode 7)","","Sony Simple TV 2016 Tan Smart TV","00:23:51","00:23:51","GB (United Kingdom)"
"Astrid",2020-09-22 20:35:04,"00:22:46","Autoplayed: user action: Unspecified; ","The Fresh Prince of Bel-Air: Season 1: Mistaken Identity (Episode 6)","","Sony Simple TV 2016 Tan Smart TV","00:23:26","00:23:26","GB (United Kingdom)"
"Astrid",2020-09-21 18:51:06,"00:00:50","Autoplayed: user action: None; ","Season 1 Trailer: Get Organized with The Home Edit","TRAILER","Sony Simple TV 2016 Tan Smart TV","00:00:50","Not latest view","GB (United Kingdom)"
"Astrid",2020-09-21 18:50:44,"00:00:05","Autoplayed: user action: None; ","The Social Dilemma","","Sony Simple TV 2016 Tan Smart TV","00:14:08","Not latest view","GB (United Kingdom)"
"Astrid",2020-09-21 18:34:23,"00:14:05","","The Social Dilemma","","Sony Simple TV 2016 Tan Smart TV","00:14:05","Not latest view","GB (United Kingdom)"
"Astrid",2020-09-19 21:13:08,"00:21:55","Autoplayed: user action: Unspecified; ","The Fresh Prince of Bel-Air: Season 1: Homeboy, Sweet Homeboy (Episode 5)","","Sony Simple TV 2016 Tan Smart TV","00:22:54","00:22:54","GB (United Kingdom)"
"Astrid",2020-09-19 20:49:52,"00:22:40","Autoplayed: user action: Unspecified; ","The Fresh Prince of Bel-Air: Season 1: Not with My Pig, You Don't (Episode 4)","","Sony Simple TV 2016 Tan Smart TV","00:23:38","00:23:38","GB (United Kingdom)"
"Astrid",2020-09-19 20:29:57,"00:19:49","Autoplayed: user action: Unspecified; ","The Fresh Prince of Bel-Air: Season 1: Clubba Hubba (Episode 3)","","Sony Simple TV 2016 Tan Smart TV","00:21:24","00:21:24","GB (United Kingdom)"
"Astrid",2020-09-19 20:07:33,"00:21:59","Autoplayed: user action: Unspecified; ","The Fresh Prince of Bel-Air: Season 1: Bang the Drum, Ashley (Episode 2)","","Sony Simple TV 2016 Tan Smart TV","00:23:38","00:23:38","GB (United Kingdom)"
"Astrid",2020-09-19 20:06:42,"00:00:43","Autoplayed: user action: None; ","The Fresh Prince of Bel-Air: Season 1_hook_primary_16x9","HOOK","Sony Simple TV 2016 Tan Smart TV","00:00:43","00:00:43","GB (United Kingdom)"
"Astrid",2020-09-19 19:36:37,"00:24:53","Autoplayed: user action: Unspecified; ","Hjørdis: Season 1: In the Spotlight (Episode 4)","","Sony Simple TV 2016 Tan Smart TV","00:25:53","00:25:53","GB (United Kingdom)"
"Astrid",2020-09-19 19:09:33,"00:26:08","Autoplayed: user action: Unspecified; ","Hjørdis: Season 1: The Princess (Episode 3)","","Sony Simple TV 2016 Tan Smart TV","00:25:41","00:25:41","GB (United Kingdom)"
"Astrid",2020-09-19 19:09:19,"00:00:10","Autoplayed: user action: None; ","Season 1 Trailer: The Duchess","TRAILER","Sony Simple TV 2016 Tan Smart TV","00:00:10","Not latest view","GB (United Kingdom)"
"Astrid",2020-09-19 19:07:48,"00:01:26","Autoplayed: user action: None; ","Season 2 Trailer: Criminal: UK","TRAILER","Sony Simple TV 2016 Tan Smart TV","00:01:26","00:01:26","GB (United Kingdom)"
"Astrid",2020-09-18 20:29:58,"00:24:10","Autoplayed: user action: Unspecified; ","Hjørdis: Season 1: The Group (Episode 2)","","Sony Simple TV 2016 Tan Smart TV","00:25:30","00:25:30","GB (United Kingdom)"
"Astrid",2020-09-18 20:04:22,"00:25:29","Autoplayed: user action: Unspecified; ","Hjørdis: Season 1: The Guest (Episode 1)","","Sony Simple TV 2016 Tan Smart TV","00:25:29","00:25:29","GB (United Kingdom)"
"Astrid",2020-09-18 20:03:35,"00:00:28","Autoplayed: user action: None; ","Come Dine With Me: Series 12_hook_03_16x9","HOOK","FireTV Stick 2016","00:00:28","00:00:28","GB (United Kingdom)"
"Astrid",2020-09-18 20:02:46,"00:00:11","Autoplayed: user action: None; ","Season 3 Trailer: Chico Bon Bon: Monkey with a Tool Belt","TRAILER","FireTV Stick 2016","00:00:11","00:00:11","GB (United Kingdom)"
"Astrid",2020-09-13 20:46:37,"00:38:35","Autoplayed: user action: Unspecified; ","Rita: Season 5: Chaos (Episode 8)","","Sony Simple TV 2016 Tan Smart TV","00:40:07","00:40:07","GB (United Kingdom)"
"Astrid",2020-09-13 20:06:51,"00:36:49","Autoplayed: user action: Unspecified; ","Rita: Season 5: The Lake (Episode 7)","","Sony Simple TV 2016 Tan Smart TV","00:38:43","00:38:43","GB (United Kingdom)"
"Astrid",2020-09-13 19:22:28,"00:36:25","Autoplayed: user action: Unspecified; ","Rita: Season 5: Boundaries (Episode 6)","","Sony Simple TV 2016 Tan Smart TV","00:38:01","00:38:01","GB (United Kingdom)"
